"Year","Month","GrossReturn","PriceReturn","CPI_Rate","CPI_adjusted_GR","CPI_adjusted_PR","CPIC_Rate","CPIC_adjusted_GR","CPIC_adjusted_PR","PPI_Rate","PPI_adjusted_GR","PPI_adjusted_PR","PCE_Rate","PCE_adjusted_GR","PCE_adjusted_PR"
1964,7,0.01891,0.017953,0.00322580645161295,0.0156337620578779,0.0146798392282961,0,0.01891,0.0179530000000001,0.00317460317460322,0.0156856012658229,0.0147316297468356,0.00850753524550316,0.0103147119787901,0.00936578500843588
1964,8,-0.011621,-0.016285,-0.00321543408360133,-0.00843268064516123,-0.0131117258064515,-0.00309597523219797,-0.00855150000000016,-0.0132299844720498,0,-0.011621,-0.016285,0.0067486141238853,-0.0182464757002634,-0.0228792111563323
1964,9,0.030399,0.029022,0.00322580645161295,0.0270858199356914,0.0257132475884245,0.00310559006211162,0.0272089102167186,0.0258361733746133,0.00316455696202525,0.0271485299684544,0.0257758738170348,-0.00263346899688764,0.0331196886701872,0.0317390528084494
1964,10,0.008745,0.007566,0,0.008745,0.00756599999999996,0.00309597523219819,0.00563158950617271,0.00445622839506155,0,0.008745,0.00756599999999996,0.0072011521843495,0.00153280981887494,0.000362239275500276
1964,11,0.001598,-0.004588,0.00321543408360122,-0.00161224999999998,-0.00777842307692311,0.00308641975308646,-0.00148384000000001,-0.00765080615384617,0,0.00159799999999999,-0.00458800000000004,-0.00762631077216407,0.00929519884726226,0.00306165994236318
1964,12,0.005228,0.003803,0,0.00522800000000001,0.003803,0,0.00522800000000001,0.003803,0,0.00522800000000001,0.003803,0.01104707012488,-0.00575548883610455,-0.0071649187648456
1965,1,0.034791,0.033837,0,0.034791,0.0338369999999999,0.00307692307692312,0.0316167944785275,0.0306657208588954,0.00315457413249216,0.0315369402515724,0.0305859402515722,0.0080760095011876,0.0265009684260133,0.025554611215834
1965,2,0.003746,-0.000853,0,0.00374600000000003,-0.000852999999999993,0,0.00374600000000003,-0.000852999999999993,0.00314465408805025,0.000599460815047248,-0.00398512225705316,0.0164938737040528,-0.0125410236439498,-0.0170653991655076
1965,3,-0.012213,-0.013685,0.00320512820512825,-0.0153688690095847,-0.0168361661341853,0,-0.012213,-0.0136849999999999,0,-0.012213,-0.0136849999999999,0.00440426518312479,-0.0165443992614819,-0.018009944611124
1965,4,0.035612,0.034769,0.00319488817891367,0.0323138726114651,0.0314735573248408,0.00306748466257673,0.0324449908256881,0.0316045688073394,0.00313479623824456,0.0323757124999999,0.0315353468749999,0.00876990537733674,0.026608738503775,0.0257730672614964
