Series ID,Year,Period,Label,Value
CUUR0000SA0L1E,1992,M10,1992 Oct,149.0
CUUR0000SA0L1E,1992,M11,1992 Nov,149.3
CUUR0000SA0L1E,1992,M12,1992 Dec,149.2
CUUR0000SA0L1E,1993,M01,1993 Jan,149.9
CUUR0000SA0L1E,1993,M02,1993 Feb,150.8
CUUR0000SA0L1E,1993,M03,1993 Mar,151.4
CUUR0000SA0L1E,1993,M04,1993 Apr,151.7
CUUR0000SA0L1E,1993,M05,1993 May,151.7
CUUR0000SA0L1E,1993,M06,1993 Jun,151.8
CUUR0000SA0L1E,1993,M07,1993 Jul,152.0
CUUR0000SA0L1E,1993,M08,1993 Aug,152.6
CUUR0000SA0L1E,1993,M09,1993 Sep,152.9
CUUR0000SA0L1E,1993,M10,1993 Oct,153.5
CUUR0000SA0L1E,1993,M11,1993 Nov,153.9
CUUR0000SA0L1E,1993,M12,1993 Dec,153.9
CUUR0000SA0L1E,1994,M01,1994 Jan,154.3
CUUR0000SA0L1E,1994,M02,1994 Feb,155.0
CUUR0000SA0L1E,1994,M03,1994 Mar,155.8
CUUR0000SA0L1E,1994,M04,1994 Apr,155.9
CUUR0000SA0L1E,1994,M05,1994 May,156.0
CUUR0000SA0L1E,1994,M06,1994 Jun,156.2
CUUR0000SA0L1E,1994,M07,1994 Jul,156.4
CUUR0000SA0L1E,1994,M08,1994 Aug,157.0
CUUR0000SA0L1E,1994,M09,1994 Sep,157.5
CUUR0000SA0L1E,1994,M10,1994 Oct,158.0
CUUR0000SA0L1E,1994,M11,1994 Nov,158.2
CUUR0000SA0L1E,1994,M12,1994 Dec,157.9
CUUR0000SA0L1E,1995,M01,1995 Jan,158.7
CUUR0000SA0L1E,1995,M02,1995 Feb,159.6
CUUR0000SA0L1E,1995,M03,1995 Mar,160.4
CUUR0000SA0L1E,1995,M04,1995 Apr,160.7
CUUR0000SA0L1E,1995,M05,1995 May,160.8
CUUR0000SA0L1E,1995,M06,1995 Jun,160.9
CUUR0000SA0L1E,1995,M07,1995 Jul,161.1
CUUR0000SA0L1E,1995,M08,1995 Aug,161.6
CUUR0000SA0L1E,1995,M09,1995 Sep,162.1
